id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-150606,2025-02-20,000001,Vente,95000,36,,RUE DE LA FUSTERIE,3770,33000,33063,Bordeaux,33,,,33063000DO0134,,,1,20.05,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.565231,44.835455
2025-150608,2025-02-14,000001,Vente,572000,14,,RUE GOUAIS LANOS,4085,33000,33063,Bordeaux,33,,,33063000IO0294,,,,,,,,,,,,,0,,,,,S,sols,,,30,-0.6093,44.830304
2025-150608,2025-02-14,000001,Vente,572000,16,,RUE GOUAIS LANOS,4085,33000,33063,Bordeaux,33,,,33063000IO0296,,,,,,,,,,,,,0,1,Maison,97,4,S,sols,,,200,-0.609232,44.830327
2025-150608,2025-02-14,000001,Vente,572000,16,,RUE GOUAIS LANOS,4085,33000,33063,Bordeaux,33,,,33063000IO0296,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,200,-0.609232,44.830327
2025-150608,2025-02-14,000001,Vente,572000,14,,RUE GOUAIS LANOS,4085,33000,33063,Bordeaux,33,,,33063000IO0297,,,,,,,,,,,,,0,,,,,S,sols,,,29,-0.609284,44.830318
2025-150610,2025-02-21,000001,Vente,450000,14,,RUE PAUL LOUIS LANDE,7040,33000,33063,Bordeaux,33,,,33063000DS0184,,,12,143.43,2,,,,,,,,2,4,Local industriel. commercial ou assimilé,150,0,,,,,,-0.575156,44.834549
2025-150612,2025-02-27,000001,Vente,153024,4,,PL DU DOYEN POPLAWSKI,2800,33800,33063,Bordeaux,33,,,33063000BY0320,,,460,60.79,,,,,,,,,1,2,Appartement,61,4,,,,,,-0.552222,44.81727
2025-150614,2025-02-27,000001,Vente,178147,14,,RUE JULES STEEG,4875,33800,33063,Bordeaux,33,,,33063000DA0101,,,2,44.67,,,,,,,,,1,2,Appartement,44,1,,,,,,-0.566818,44.82706
2025-150615,2025-02-26,000001,Vente,81000,10,,ALL D ORLEANS,6805,33000,33063,Bordeaux,33,,,33063000KP0030,,,23,18.28,,,,,,,,,1,2,Appartement,18,1,,,,,,-0.571514,44.843762
2025-150619,2025-02-19,000001,Vente,131500,8,,RUE PERINOT,7150,33200,33063,Bordeaux,33,,,33063000YO0143,,,73,33.47,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.627015,44.854912
2025-150619,2025-02-19,000001,Vente,131500,8,,RUE PERINOT,7150,33200,33063,Bordeaux,33,,,33063000YO0143,,,193,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.627015,44.854912
